round,colour,opponent,result,termination,init_s,moves,time_used_s,slowest_s,fastest_s,average_s,clock_left_s,machine,finished_at
Rated 79,Black,Karvaxis,Win,Checkmate,0.5,55,93.6,7.0,0.7,1.7,53.9,w-978b07,2026-09-09T10:25:28.904338+00:00
Rated 78,Black,Prompt and Circumstance,Loss,Checkmate,0.5,44,79.2,4.4,0.6,1.8,62.8,w-d5046c,2026-09-09T09:21:25.986856+00:00
Rated 77,White,darKnight,Win,Checkmate,0.5,73,108.6,4.6,0.5,1.5,47.9,w-7e09b1,2026-09-09T08:26:43.285758+00:00
Rated 76,Black,Epoch & Mate,Draw,Fifty moves,0.5,121,146.1,5.8,0.4,1.2,34.4,w-2fa33d,2026-09-09T07:28:54.473818+00:00
Rated 75,White,Chelsea's very own JP Morgan,Win,Checkmate,0.6,46,83.2,5.4,0.8,1.8,59.8,w-281221,2026-09-08T21:26:54.171912+00:00
Rated 74,Black,0x88,Win,Checkmate,0.8,38,78.1,5.4,0.8,2.1,60.9,w-02013e,2026-09-08T20:28:20.741343+00:00
Rated 73,White,Benko,Draw,Threefold repetition,0.6,49,83.0,5.7,0.6,1.7,61.5,w-0eae54,2026-09-08T19:28:42.911382+00:00
Rated 72,White,drunkenmaster,Loss,Checkmate,0.6,47,84.3,6.5,0.5,1.8,59.2,w-ecee2f,2026-09-08T18:25:46.759929+00:00
Rated 71,Black,Tobias Carlsen,Loss,Checkmate,0.5,28,58.6,6.3,0.9,2.1,75.4,w-1111ae,2026-09-08T17:21:06.043121+00:00
Rated 70,White,Rohan,Win,Checkmate,0.5,49,85.4,5.5,0.6,1.7,59.1,w-2742fe,2026-09-08T16:26:09.738327+00:00
Rated 69,Black,AI < human,Loss,Checkmate,0.5,29,57.3,5.5,0.8,2.0,77.2,w-0914e8,2026-09-08T15:20:38.368785+00:00
Rated 68,Black,Sunfish,Win,Checkmate,0.5,71,107.8,4.2,0.5,1.5,47.7,w-2742fe,2026-09-08T14:27:38.50308+00:00
Rated 67,White,DanyaTheGoat,Win,Checkmate,0.5,74,115.8,5.8,0.4,1.6,41.2,w-0914e8,2026-09-08T13:30:29.383636+00:00
Rated 66,White,Sher hi kehde,Loss,Checkmate,0.5,58,94.8,6.5,0.5,1.6,54.3,w-4e0f8c,2026-09-08T12:27:19.456466+00:00
Rated 65,Black,blue school baddies,Loss,Checkmate,0.5,53,101.7,4.9,0.5,1.9,44.8,w-2118a6,2026-09-08T11:25:35.236837+00:00
Rated 64,White,Obligatory En Passant,Win,Checkmate,0.5,28,59.7,4.6,0.8,2.1,74.3,w-2742fe,2026-09-08T10:26:55.572198+00:00
Rated 63,Black,hyperfish,Loss,Checkmate,0.6,46,84.9,7.5,0.6,1.8,58.1,w-de0e76,2026-09-08T09:31:54.151649+00:00
Rated 62,White,Checkmate99,Win,Checkmate,0.5,25,64.1,8.0,0.8,2.6,68.4,w-642868,2026-09-08T08:45:07.624937+00:00
Rated 61,Black,Magnus.AI,Loss,Checkmate,0.4,33,72.4,5.6,0.6,2.2,64.1,w-8a7313,2026-09-08T08:26:21.962553+00:00
Rated 60,White,ScholarsMate,Draw,Fifty moves,0.5,117,152.7,4.8,0.3,1.3,25.8,w-52d6d4,2026-09-07T21:35:31.490352+00:00
